,stim_name,angle,velocity,stim_type,stationary_time,duration
0,medial_right,"(90, 270)","(0.02, 0)",b,3,35
1,right,0,0.02,s,3,35
2,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
3,x_backward,"(180, 180)","(0, 0.02)",b,3,35
4,converging,"(90, 270)","(0.02, 0.02)",b,3,35
5,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
6,x_forward,"(0, 0)","(0, 0.02)",b,3,35
7,backward,90,0.02,s,3,35
8,forward_x,"(0, 0)","(0.02, 0)",b,3,35
9,backward_right,45,0.02,s,3,35
10,forward_left,225,0.02,s,3,35
11,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
12,backward_x,"(180, 180)","(0.02, 0)",b,3,35
13,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
14,forward_right,-45,0.02,s,3,35
15,medial_left,"(90, 270)","(0, 0.02)",b,3,35
16,backward_left,135,0.02,s,3,35
17,left,180,0.02,s,3,35
18,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
19,forward,-90,0.02,s,3,35
20,medial_right,"(90, 270)","(0.02, 0)",b,3,35
21,right,0,0.02,s,3,35
22,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
23,x_backward,"(180, 180)","(0, 0.02)",b,3,35
24,converging,"(90, 270)","(0.02, 0.02)",b,3,35
25,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
26,x_forward,"(0, 0)","(0, 0.02)",b,3,35
27,backward,90,0.02,s,3,35
28,forward_x,"(0, 0)","(0.02, 0)",b,3,35
29,backward_right,45,0.02,s,3,35
30,forward_left,225,0.02,s,3,35
31,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
32,backward_x,"(180, 180)","(0.02, 0)",b,3,35
33,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
34,forward_right,-45,0.02,s,3,35
35,medial_left,"(90, 270)","(0, 0.02)",b,3,35
36,backward_left,135,0.02,s,3,35
37,left,180,0.02,s,3,35
38,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
39,forward,-90,0.02,s,3,35
40,medial_right,"(90, 270)","(0.02, 0)",b,3,35
41,right,0,0.02,s,3,35
42,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
43,x_backward,"(180, 180)","(0, 0.02)",b,3,35
44,converging,"(90, 270)","(0.02, 0.02)",b,3,35
45,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
46,x_forward,"(0, 0)","(0, 0.02)",b,3,35
47,backward,90,0.02,s,3,35
48,forward_x,"(0, 0)","(0.02, 0)",b,3,35
49,backward_right,45,0.02,s,3,35
50,forward_left,225,0.02,s,3,35
51,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
52,backward_x,"(180, 180)","(0.02, 0)",b,3,35
53,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
54,forward_right,-45,0.02,s,3,35
55,medial_left,"(90, 270)","(0, 0.02)",b,3,35
56,backward_left,135,0.02,s,3,35
57,left,180,0.02,s,3,35
58,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
59,forward,-90,0.02,s,3,35
60,medial_right,"(90, 270)","(0.02, 0)",b,3,35
61,right,0,0.02,s,3,35
62,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
63,x_backward,"(180, 180)","(0, 0.02)",b,3,35
64,converging,"(90, 270)","(0.02, 0.02)",b,3,35
65,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
66,x_forward,"(0, 0)","(0, 0.02)",b,3,35
67,backward,90,0.02,s,3,35
68,forward_x,"(0, 0)","(0.02, 0)",b,3,35
69,backward_right,45,0.02,s,3,35
70,forward_left,225,0.02,s,3,35
71,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
72,backward_x,"(180, 180)","(0.02, 0)",b,3,35
73,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
74,forward_right,-45,0.02,s,3,35
75,medial_left,"(90, 270)","(0, 0.02)",b,3,35
76,backward_left,135,0.02,s,3,35
77,left,180,0.02,s,3,35
78,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
79,forward,-90,0.02,s,3,35
80,medial_right,"(90, 270)","(0.02, 0)",b,3,35
81,right,0,0.02,s,3,35
82,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
83,x_backward,"(180, 180)","(0, 0.02)",b,3,35
84,converging,"(90, 270)","(0.02, 0.02)",b,3,35
85,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
86,x_forward,"(0, 0)","(0, 0.02)",b,3,35
87,backward,90,0.02,s,3,35
88,forward_x,"(0, 0)","(0.02, 0)",b,3,35
89,backward_right,45,0.02,s,3,35
90,forward_left,225,0.02,s,3,35
91,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
92,backward_x,"(180, 180)","(0.02, 0)",b,3,35
93,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
94,forward_right,-45,0.02,s,3,35
95,medial_left,"(90, 270)","(0, 0.02)",b,3,35
96,backward_left,135,0.02,s,3,35
97,left,180,0.02,s,3,35
98,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
99,forward,-90,0.02,s,3,35
100,medial_right,"(90, 270)","(0.02, 0)",b,3,35
101,right,0,0.02,s,3,35
102,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
103,x_backward,"(180, 180)","(0, 0.02)",b,3,35
104,converging,"(90, 270)","(0.02, 0.02)",b,3,35
105,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
106,x_forward,"(0, 0)","(0, 0.02)",b,3,35
107,backward,90,0.02,s,3,35
108,forward_x,"(0, 0)","(0.02, 0)",b,3,35
109,backward_right,45,0.02,s,3,35
110,forward_left,225,0.02,s,3,35
111,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
112,backward_x,"(180, 180)","(0.02, 0)",b,3,35
113,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
114,forward_right,-45,0.02,s,3,35
115,medial_left,"(90, 270)","(0, 0.02)",b,3,35
116,backward_left,135,0.02,s,3,35
117,left,180,0.02,s,3,35
118,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
119,forward,-90,0.02,s,3,35
120,medial_right,"(90, 270)","(0.02, 0)",b,3,35
121,right,0,0.02,s,3,35
122,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
123,x_backward,"(180, 180)","(0, 0.02)",b,3,35
124,converging,"(90, 270)","(0.02, 0.02)",b,3,35
125,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
126,x_forward,"(0, 0)","(0, 0.02)",b,3,35
127,backward,90,0.02,s,3,35
128,forward_x,"(0, 0)","(0.02, 0)",b,3,35
129,backward_right,45,0.02,s,3,35
130,forward_left,225,0.02,s,3,35
131,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
132,backward_x,"(180, 180)","(0.02, 0)",b,3,35
133,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
134,forward_right,-45,0.02,s,3,35
135,medial_left,"(90, 270)","(0, 0.02)",b,3,35
136,backward_left,135,0.02,s,3,35
137,left,180,0.02,s,3,35
138,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
139,forward,-90,0.02,s,3,35
140,blank,-90,0,s,0,14400
141,medial_right,"(90, 270)","(0.02, 0)",b,3,35
142,right,0,0.02,s,3,35
143,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
144,x_backward,"(180, 180)","(0, 0.02)",b,3,35
145,converging,"(90, 270)","(0.02, 0.02)",b,3,35
146,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
147,x_forward,"(0, 0)","(0, 0.02)",b,3,35
148,backward,90,0.02,s,3,35
149,forward_x,"(0, 0)","(0.02, 0)",b,3,35
150,backward_right,45,0.02,s,3,35
151,forward_left,225,0.02,s,3,35
152,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
153,backward_x,"(180, 180)","(0.02, 0)",b,3,35
154,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
155,forward_right,-45,0.02,s,3,35
156,medial_left,"(90, 270)","(0, 0.02)",b,3,35
157,backward_left,135,0.02,s,3,35
158,left,180,0.02,s,3,35
159,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
160,forward,-90,0.02,s,3,35
161,medial_right,"(90, 270)","(0.02, 0)",b,3,35
162,right,0,0.02,s,3,35
163,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
164,x_backward,"(180, 180)","(0, 0.02)",b,3,35
165,converging,"(90, 270)","(0.02, 0.02)",b,3,35
166,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
167,x_forward,"(0, 0)","(0, 0.02)",b,3,35
168,backward,90,0.02,s,3,35
169,forward_x,"(0, 0)","(0.02, 0)",b,3,35
170,backward_right,45,0.02,s,3,35
171,forward_left,225,0.02,s,3,35
172,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
173,backward_x,"(180, 180)","(0.02, 0)",b,3,35
174,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
175,forward_right,-45,0.02,s,3,35
176,medial_left,"(90, 270)","(0, 0.02)",b,3,35
177,backward_left,135,0.02,s,3,35
178,left,180,0.02,s,3,35
179,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
180,forward,-90,0.02,s,3,35
181,medial_right,"(90, 270)","(0.02, 0)",b,3,35
182,right,0,0.02,s,3,35
183,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
184,x_backward,"(180, 180)","(0, 0.02)",b,3,35
185,converging,"(90, 270)","(0.02, 0.02)",b,3,35
186,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
187,x_forward,"(0, 0)","(0, 0.02)",b,3,35
188,backward,90,0.02,s,3,35
189,forward_x,"(0, 0)","(0.02, 0)",b,3,35
190,backward_right,45,0.02,s,3,35
191,forward_left,225,0.02,s,3,35
192,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
193,backward_x,"(180, 180)","(0.02, 0)",b,3,35
194,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
195,forward_right,-45,0.02,s,3,35
196,medial_left,"(90, 270)","(0, 0.02)",b,3,35
197,backward_left,135,0.02,s,3,35
198,left,180,0.02,s,3,35
199,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
200,forward,-90,0.02,s,3,35
201,medial_right,"(90, 270)","(0.02, 0)",b,3,35
202,right,0,0.02,s,3,35
203,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
204,x_backward,"(180, 180)","(0, 0.02)",b,3,35
205,converging,"(90, 270)","(0.02, 0.02)",b,3,35
206,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
207,x_forward,"(0, 0)","(0, 0.02)",b,3,35
208,backward,90,0.02,s,3,35
209,forward_x,"(0, 0)","(0.02, 0)",b,3,35
210,backward_right,45,0.02,s,3,35
211,forward_left,225,0.02,s,3,35
212,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
213,backward_x,"(180, 180)","(0.02, 0)",b,3,35
214,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
215,forward_right,-45,0.02,s,3,35
216,medial_left,"(90, 270)","(0, 0.02)",b,3,35
217,backward_left,135,0.02,s,3,35
218,left,180,0.02,s,3,35
219,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
220,forward,-90,0.02,s,3,35
221,medial_right,"(90, 270)","(0.02, 0)",b,3,35
222,right,0,0.02,s,3,35
223,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
224,x_backward,"(180, 180)","(0, 0.02)",b,3,35
225,converging,"(90, 270)","(0.02, 0.02)",b,3,35
226,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
227,x_forward,"(0, 0)","(0, 0.02)",b,3,35
228,backward,90,0.02,s,3,35
229,forward_x,"(0, 0)","(0.02, 0)",b,3,35
230,backward_right,45,0.02,s,3,35
231,forward_left,225,0.02,s,3,35
232,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
233,backward_x,"(180, 180)","(0.02, 0)",b,3,35
234,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
235,forward_right,-45,0.02,s,3,35
236,medial_left,"(90, 270)","(0, 0.02)",b,3,35
237,backward_left,135,0.02,s,3,35
238,left,180,0.02,s,3,35
239,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
240,forward,-90,0.02,s,3,35
241,medial_right,"(90, 270)","(0.02, 0)",b,3,35
242,right,0,0.02,s,3,35
243,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
244,x_backward,"(180, 180)","(0, 0.02)",b,3,35
245,converging,"(90, 270)","(0.02, 0.02)",b,3,35
246,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
247,x_forward,"(0, 0)","(0, 0.02)",b,3,35
248,backward,90,0.02,s,3,35
249,forward_x,"(0, 0)","(0.02, 0)",b,3,35
250,backward_right,45,0.02,s,3,35
251,forward_left,225,0.02,s,3,35
252,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
253,backward_x,"(180, 180)","(0.02, 0)",b,3,35
254,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
255,forward_right,-45,0.02,s,3,35
256,medial_left,"(90, 270)","(0, 0.02)",b,3,35
257,backward_left,135,0.02,s,3,35
258,left,180,0.02,s,3,35
259,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
260,forward,-90,0.02,s,3,35
261,medial_right,"(90, 270)","(0.02, 0)",b,3,35
262,right,0,0.02,s,3,35
263,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
264,x_backward,"(180, 180)","(0, 0.02)",b,3,35
265,converging,"(90, 270)","(0.02, 0.02)",b,3,35
266,lateral_right,"(270, 90)","(0, 0.02)",b,3,35
267,x_forward,"(0, 0)","(0, 0.02)",b,3,35
268,backward,90,0.02,s,3,35
269,forward_x,"(0, 0)","(0.02, 0)",b,3,35
270,backward_right,45,0.02,s,3,35
271,forward_left,225,0.02,s,3,35
272,lateral_left,"(270, 90)","(0.02, 0)",b,3,35
273,backward_x,"(180, 180)","(0.02, 0)",b,3,35
274,diverging,"(270, 90)","(0.02, 0.02)",b,3,35
275,forward_right,-45,0.02,s,3,35
276,medial_left,"(90, 270)","(0, 0.02)",b,3,35
277,backward_left,135,0.02,s,3,35
278,left,180,0.02,s,3,35
279,backward_forward,"(180, 0)","(0.02, 0.02)",b,3,35
280,forward,-90,0.02,s,3,35
281,blank,-90,0,s,0,14400
282,medial_right,"(90, 270)","(0.02, 0)",b,3,35
283,right,0,0.02,s,3,35
284,forward_backward,"(0, 180)","(0.02, 0.02)",b,3,35
285,x_backward,"(180, 180)","(0, 0.02)",b,3,35
286,converging,"(90, 270)","(0.02, 0.02)",b,3,35
